,arr_city,dept_city,leg_id,price,stops,total_time_mins,arr_city_coords,dept_city_coords
148,San Francisco,Cusco,83947e7f406141824116c18a1770dcc7,1006.0,2,719,"(37.7749295, -122.4194155)","(-13.53195, -71.96746259999999)"
149,San Francisco,Cusco,96dbd8a6c7a0cbcc7a4798ecfb8d65b9,1088.0,2,770,"(37.7749295, -122.4194155)","(-13.53195, -71.96746259999999)"
150,Cusco,San Francisco,beab05ff2e8d343b7a34898495a03a3f,0.0,2,679,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
151,San Francisco,Cusco,aab4fc07db2fec6eadfb2c9029954b18,746.0,2,719,"(37.7749295, -122.4194155)","(-13.53195, -71.96746259999999)"
152,Cusco,San Francisco,5d9ac5974c766b2a9eaf38721f9db358,4931.0,2,679,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
153,Cusco,San Francisco,27b0f7069461a1dc9364bc64fa143ea8,924.0,2,709,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
154,Cusco,San Francisco,8016bbe336e3d5addbeb445eb64cf077,1021.0,2,736,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
155,Cusco,San Francisco,e90fe06beb2ee87c528423ca3a98a062,887.0,2,734,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
156,San Francisco,Cusco,7d19f0424089a0773a36c34af8af51d6,4931.0,2,740,"(37.7749295, -122.4194155)","(-13.53195, -71.96746259999999)"
157,Cusco,San Francisco,7f1e94dee3cea71e0c5c5dd3a1983572,746.0,2,678,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
158,San Francisco,Cusco,79985cbad82d21266f13e60176584910,887.0,2,801,"(37.7749295, -122.4194155)","(-13.53195, -71.96746259999999)"
159,Cusco,San Francisco,0dbbcbac058833c82c8840707ab24d31,1374.0,2,717,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
160,Cusco,San Francisco,12b31689e15631749396023c7cecfc00,1088.0,2,729,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
161,Cusco,San Francisco,7500c18715c51e9a1f25956dc458c695,1063.0,2,715,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
162,Cusco,San Francisco,0b682c51edc733dbf2fd308817cc7bb3,982.0,2,681,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
163,Cusco,San Francisco,1c6f16f91a933d33763d34d7fa0981fa,982.0,2,730,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
