,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
35,GIG,Rio de Janeiro,SFO,San Francisco,5,35,"[5, 9, 1]","[35, 40, 0]",b1c18a70778c80fd1460651643d94401,1650.0,2,15,75,900,975,1559792913.891712
36,GIG,Rio de Janeiro,SFO,San Francisco,5,25,"[5, 4, 4]","[25, 4, 55]",ee6139de237c72b96668ea92574fc18a,1774.0,2,13,84,780,864,1559792913.891712
37,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 8]","[50, 25]",c0932e7e1408e1705bfb8aeb8decbbd7,1194.0,1,13,75,780,855,1559792913.891712
38,GIG,Rio de Janeiro,SFO,San Francisco,4,45,"[4, 9]","[45, 37]",763fc9ad26b2fa1c2ea714d4b97b5d57,1069.0,1,13,82,780,862,1559792913.891712
39,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 8, 1]","[50, 30, 0]",090ff635f6cd64c62a72a082127694f7,1784.0,2,14,80,840,920,1559792913.891712
40,GIG,Rio de Janeiro,SFO,San Francisco,3,56,"[3, 10]","[56, 10]",1c89b4fca4f358496904a8853e2a51d1,1319.0,1,13,66,780,846,1559792913.891712
41,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 7, 3]","[50, 15, 10]",7bd62d6f4a92ee9ff1c86b8055cef9f2,1784.0,2,15,75,900,975,1559792913.891712
42,GIG,Rio de Janeiro,SFO,San Francisco,7,23,"[7, 7]","[23, 10]",28183caa599c9a55b7529f517527c5e1,1102.0,1,14,33,840,873,1559792913.891712
43,GIG,Rio de Janeiro,SFO,San Francisco,5,16,"[5, 9, 1]","[16, 55, 0]",1e414cb62752236767aa29f6363c6325,1685.0,2,15,71,900,971,1559792913.891712
44,GIG,Rio de Janeiro,SFO,San Francisco,5,46,"[5, 8, 1]","[46, 30, 5]",c7260bb4cd9bdb54b7cb85e498308c6c,1251.0,2,14,81,840,921,1559792913.891712
45,SFO,San Francisco,GIG,Rio de Janeiro,10,35,"[10, 4]","[35, 10]",b3cda79b0b4eebbbb6f3e4127518d8d7,1251.0,1,14,45,840,885,1559792913.891712
46,GIG,Rio de Janeiro,SFO,San Francisco,1,43,"[1, 5, 8]","[43, 1, 25]",623a3c370d6f5c5a25438b543b5d3830,1776.0,2,14,69,840,909,1559792913.891712
47,GIG,Rio de Janeiro,SFO,San Francisco,3,58,"[3, 10]","[58, 10]",43f3ae6ba66fea634fc5768f0fcf2af9,1319.0,1,13,68,780,848,1559792913.891712
48,SFO,San Francisco,GIG,Rio de Janeiro,7,28,"[7, 7]","[28, 35]",e3b65a61980ff9b9e4c5d804c4c12425,1102.0,1,14,63,840,903,1559792913.891712
49,GIG,Rio de Janeiro,SFO,San Francisco,5,58,"[5, 8, 1]","[58, 25, 10]",441f9bce242ec2132d80310a341fa1cc,1524.0,2,14,93,840,933,1559792913.891712
50,GIG,Rio de Janeiro,SFO,San Francisco,3,59,"[3, 10]","[59, 10]",4a79ece6eb3bd68b096ec38c98381578,1319.0,1,13,69,780,849,1559792913.891712
51,GIG,Rio de Janeiro,SFO,San Francisco,5,47,"[5, 8, 1]","[47, 25, 10]",4d5b19b9fb5dde49b418dca424888d97,1524.0,2,14,82,840,922,1559792913.891712
52,GIG,Rio de Janeiro,SFO,San Francisco,5,52,"[5, 3, 8]","[52, 31, 25]",86becd59d953e0a8935dda602cff3e1c,1906.0,2,16,108,960,1068,1559792913.891712
53,GIG,Rio de Janeiro,SFO,San Francisco,5,38,"[5, 2, 6]","[38, 59, 15]",fbf9b76796cc72c31137294ff9a792ca,937.0,2,13,112,780,892,1559792913.891712
54,GIG,Rio de Janeiro,SFO,San Francisco,1,39,"[1, 5, 8]","[39, 11, 25]",ad668cb7e947aef3100fc5f28d7081cd,1776.0,2,14,75,840,915,1559792913.891712
