,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
51,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 29]",76797534f8030b437f0a807ccb90ae1e,942.0,1,14,79,840,919,1559791859.079683
52,SYD,Sydney,SFO,San Francisco,14,40,[14],[40],29a768f07fae0ae91224877457ed5637,932.0,0,14,40,840,880,1559791859.079683
53,SYD,Sydney,SFO,San Francisco,3,41,"[3, 17]","[41, 0]",039aeca262460cae33683aa505b4f10f,936.0,1,20,41,1200,1241,1559791859.079683
54,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 0]",3d56d013d5a0c769068f253fe59165c5,936.0,1,16,37,960,997,1559791859.079683
55,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 0]",0025d832abc6e22efd424be958cc5f38,944.0,1,16,34,960,994,1559791859.079683
56,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 18]",fccedf57a1e52a2c5361bd744145be4a,949.0,1,14,68,840,908,1559791859.079683
57,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",72204c9b6388046a9d82f7c369901f23,962.0,1,16,55,960,1015,1559791859.079683
58,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",66717bd8a45ec1bebc94369cfaa0a383,933.0,1,16,55,960,1015,1559791859.079683
59,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 31]",736482a8d9c3f8ae5b15958649eaeb7f,942.0,1,14,81,840,921,1559791859.079683
60,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",773178a244089224610b8f301a59d732,949.0,1,15,82,900,982,1559791859.079683
61,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",44dfe2c9e97a9661cc5c25b5622eeb9a,949.0,1,16,42,960,1002,1559791859.079683
62,SYD,Sydney,SFO,San Francisco,3,44,"[3, 17]","[44, 0]",c7fb14b120cafa7a1991f1897eded2f2,944.0,1,20,44,1200,1244,1559791859.079683
63,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",974490a2d93cf92d665d75a3e140ccfe,933.0,1,16,55,960,1015,1559791859.079683
64,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",483e5a259e38259ea53231ca16c75823,933.0,1,16,55,960,1015,1559791859.079683
65,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",00ddaf57baff961f1440d58280a6e0b9,933.0,1,16,55,960,1015,1559791859.079683
66,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",a6e578a53ff84521a2b23306af933b9b,942.0,1,15,82,900,982,1559791859.079683
67,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",e271e6d569fa3ff2738e7729cb230adb,962.0,1,16,55,960,1015,1559791859.079683
68,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 0]",2cd63c7e610a216f53811af911927056,936.0,1,16,34,960,994,1559791859.079683
69,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",ec047e184e8a202ae10be70756e59d3e,942.0,1,15,82,900,982,1559791859.079683
70,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",cc7a5307f47af806bf84aae6afbaec9d,933.0,1,16,55,960,1015,1559791859.079683
71,SYD,Sydney,SFO,San Francisco,1,40,"[1, 15]","[40, 0]",93f5527ca54c19e6b821b7ee421ab446,944.0,1,16,40,960,1000,1559791859.079683
72,SYD,Sydney,SFO,San Francisco,3,41,"[3, 17]","[41, 0]",bc411f1e4c23ba080ed59514d9de4e2f,936.0,1,20,41,1200,1241,1559791859.079683
73,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",c03f6307d03fa0eb04c23b40dcf6f960,933.0,1,16,55,960,1015,1559791859.079683
74,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",2d5ded874c30290cfe05ffcb9260874f,933.0,1,16,55,960,1015,1559791859.079683
